,State,County,Year,Days with AQI,Hazardous Days,Max AQI,90th Percentile AQI,Days Ozone,cnty_state,county_id_fips
0,Alabama,Baldwin,2018,270,0,97,50,214,"Baldwin County, Alabama",01003
1,Alabama,Clay,2018,110,0,64,45,0,"Clay County, Alabama",01027
2,Alabama,Colbert,2018,277,0,93,50,209,"Colbert County, Alabama",01033
3,Alabama,DeKalb,2018,350,0,84,50,317,"DeKalb County, Alabama",01049
4,Alabama,Elmore,2018,222,0,71,49,222,"Elmore County, Alabama",01051
5,Alabama,Etowah,2018,324,0,153,61,179,"Etowah County, Alabama",01055
6,Alabama,Houston,2018,277,0,80,51,211,"Houston County, Alabama",01069
7,Alabama,Jefferson,2018,365,0,156,74,100,"Jefferson County, Alabama",01073
8,Alabama,Lawrence,2018,118,0,61,45,0,"Lawrence County, Alabama",01079
9,Alabama,Madison,2018,365,0,115,58,130,"Madison County, Alabama",01089
10,Alabama,Mobile,2018,365,0,105,57,150,"Mobile County, Alabama",01097
11,Alabama,Montgomery,2018,324,0,93,66,43,"Montgomery County, Alabama",01101
12,Alabama,Morgan,2018,364,0,100,54,176,"Morgan County, Alabama",01103
13,Alabama,Russell,2018,364,0,99,61,115,"Russell County, Alabama",01113
14,Alabama,Shelby,2018,363,0,124,50,232,"Shelby County, Alabama",01117
15,Alabama,Sumter,2018,365,0,77,47,222,"Sumter County, Alabama",01119
16,Alabama,Tuscaloosa,2018,320,0,115,56,195,"Tuscaloosa County, Alabama",01125
17,Alaska,Aleutians East ,2018,120,0,34,21,0,"Aleutians East  County, Alaska",
18,Alaska,Anchorage ,2018,365,0,87,57,0,"Anchorage  County, Alaska",
19,Alaska,Bethel ,2018,202,0,77,33,0,"Bethel  County, Alaska",
20,Alaska,Denali ,2018,364,0,58,44,363,"Denali  County, Alaska",
21,Alaska,Fairbanks North Star ,2018,365,0,156,103,113,"Fairbanks North Star  County, Alaska",
22,Alaska,Juneau ,2018,352,0,83,54,0,"Juneau  County, Alaska",
