county_id_fips,AVERAGE of GHG QUANTITY (METRIC TONS CO2e)
1001,1325052.625
1003,188937.75
1005,36357.91667
1009,55828.85714
1015,43407.97959
1017,53312.25
1019,47697.5
1021,53256
1023,220852.1667
1025,98604.30435
1031,74318.2381
1033,186112.0577
1037,61370.5
1039,1354889.154
1043,69577
1047,181910.6765
1049,116612
1051,40252.88889
1053,210869.4364
1055,173463.0625
1057,18738.16667
1063,1725754.5
1065,21916
1069,169761.9091
1071,97061.29167
1073,1285085.771
1075,146104.75
1077,32610.09091
1079,159499.7917
1081,1474302.735
1085,370391.6667
1089,87427.58974
1091,299769.0833
1093,33889.3125
1095,18865.68421
1097,458147.1524
1099,318054
1101,128802.5
1103,381803.9521
1105,30620.25
1109,155541.4211
1111,138971.25
1113,220261.303
1115,292962.1667
1117,1258574.462
1119,71854.5
1121,75127.71667
1123,857215.9615
1125,965979.0725
1127,2489344.2
1129,469440.4789
1131,212807.3333
2013,48871.66667
2016,31738.52174
2020,210979.2738
2068,295289.8235
2090,190262.25
2110,25455.70968
2122,136611.3868
2170,130080.4211
2185,220626.8545
2261,66518.21053
4001,4801212.75
4003,647574.4255
4005,59596.55319
4007,66505.25
4009,47487
4011,33584.41667
4012,40385.13043
4013,377985.1514
4015,252994.3239
4017,2002458.417
4019,241800.1282
4021,117217.528
4025,316274.9722
4027,109942.8298
5001,30153.58333
5003,262612.8696
5005,62238.5
5007,2237333.563
5013,27777.1
5015,27448.58333
5019,27923.71429
5023,38341.35088
5027,51966.86957
5029,49303.42424
5031,49735.05263
5033,23006
5035,72190.5
5039,25379
5041,211408.6667
5045,63136.91429
5047,76349.41667
5049,90619
5051,9621.5
5055,83084.08333
5057,1372861.522
5059,240067.3415
5061,60404.88235
5063,2925714.222
5067,61339.58333
5069,1206904.521
5071,40477.42857
5073,28415.77273
5081,664788.9583
5083,63167.13043
5091,33336.2
5093,1044769.9
5103,78905.91667
5107,1.666666667
5115,35777
5117,139757.75
5119,63250.43478
5121,54237.41667
5123,0
5125,49604.75
5131,167789.9559
5135,72272
5139,487533.7541
5141,32565.41379
5143,58586.69231
5145,43882.07937
5147,18525.33333
5149,55761.56522
6001,108309.7576
6007,21502.56522
6011,277812.3725
6013,713429.5385
6019,83043.67299
6023,107045.25
6025,104670.3333
6029,286448.3865
6031,37715.01695
6033,19545.18182
6035,16
6037,383344.9422
6039,43439.68519
6041,134780.8333
6045,24331
6047,55673.47917
6049,40566.6
6053,273438.1917
6055,27646.85714
6059,126402.5357
6061,84633.51429
6065,130407.8855
6067,337400.7333
6069,15075.57143
6071,327873.5027
6073,148483.7138
6075,91535.04839
6077,102813.5342
6079,100204.3095
6081,89061
6083,50554.57
6085,152863.7633
6087,21287.71429
6089,79916.70667
6095,465291.6076
6097,90685.25
6099,118435.8367
6101,110845.5424
6103,36448.29167
6107,37871.76699
6111,94008.05921
6113,39767.7907
6115,67150.6
8001,544984.3871
8005,82879.46429
8013,246684.1132
8017,35048.875
8029,367313.4286
8031,207566.362
8035,234140.4821
8037,39425.1875
8041,563960.3444
8043,745880.0667
8045,86326.73077
8051,541551.5294
8059,77434.68224
8061,28114.16667
8067,188839.1692
8069,497827.1186
8071,118868.1364
8073,32924.25
8075,55711.33333
8077,95665.39286
8081,3297540.097
8083,917
8085,206833.8462
8087,752366.7097
8093,7832.2
8099,52763.6
8101,1486409.286
8103,152321.1515
8107,979332.1622
8111,108122.6296
8117,36133.08333
8123,192917.8989
8125,49223.16667
9001,389731.5692
9003,49864.58861
9005,105768.1765
9007,370248.8085
9009,206846.9173
9011,77612.61702
9013,98760.41667
9015,613539.15
10001,75879
10003,455693.471
10005,259410.3478
11001,41178.73171
12001,379327.1875
12005,606626.7708
12007,58925.5
12009,427070.6308
12011,616372.209
12015,248606.4167
12017,3923054.375
12019,8983
12021,28057.66667
