,Plant state abbreviation,Plant county name,Number of Power Plants,Powerplant Rank
0,AK,Aleutians East,2,5
1,AK,Aleutians West,4,5
2,AK,Anchorage,6,5
3,AK,Bethel,9,5
4,AK,Bristol Bay,1,5
5,AK,Denali,1,5
6,AK,Dillingham,3,5
7,AK,Fairbanks North Star,6,5
8,AK,Haines,1,5
9,AK,Hoonah-Angoon,3,5
10,AK,Juneau,4,5
11,AK,Kenai Peninsula,7,5
12,AK,Ketchikan Gateway,1,5
13,AK,Lake and Peninsula,1,5
14,AK,NORTHWEST ARCTIC,1,5
15,AK,Nome,9,5
16,AK,North Slope,10,5
17,AK,Northwest Arctic,7,5
18,AK,Petersburg,2,5
19,AK,Prince of Wales-Hyder,6,5
20,AK,Sitka,1,5
21,AK,Skagway,1,5
22,AK,Southeast Fairbanks,5,5
23,AK,Valdez Cordova,4,5
24,AK,Wade Hampton,6,5
25,AK,Wrangell,1,5
26,AK,Yakutat,1,5
27,AK,Yukon Koyukuk,3,5
28,AL,Autauga,4,5
29,AL,Calhoun,1,5
30,AL,Choctaw,1,5
31,AL,Clarke,1,5
32,AL,Colbert,1,5
33,AL,Covington,1,5
34,AL,Dallas,1,5
35,AL,Dekalb,1,5
36,AL,Escambia,1,5
37,AL,Etowah,1,5
38,AL,Greene,1,5
39,AL,Hale,1,5
40,AL,Houston,1,5
41,AL,Jefferson,2,5
42,AL,LEE,1,5
43,AL,Lee,1,5
44,AL,Lowndes,1,5
45,AL,MOBILE,1,5
46,AL,Marengo,1,5
47,AL,Mobile,6,5
48,AL,Monroe,2,5
49,AL,Morgan,3,5
50,AL,Russell,1,5
51,AL,Shelby,1,5
52,AL,Talladega,2,5
53,AL,Tallapoosa,1,5
54,AL,Walker,1,5
55,AL,Washington,3,5
56,AL,Wilcox,1,5
57,AR,Arkansas,1,5
58,AR,Ashley,1,5
59,AR,Benton,1,5
60,AR,Clay,1,5
61,AR,Craighead,1,5
62,AR,Desha,1,5
63,AR,Franklin,1,5
64,AR,Greene,2,5
65,AR,Hempstead,2,5
66,AR,Hot Spring,3,5
67,AR,Independence,1,5
68,AR,Jefferson,3,5
69,AR,Little River,1,5
70,AR,Mississippi,2,5
71,AR,Ouachita,1,5
72,AR,Pulaski,3,5
73,AR,Union,1,5
74,AR,Washington,4,5
75,AR,Woodruff,1,5
76,AZ,Apache,2,5
77,AZ,Cochise,2,5
78,AZ,Coconino,1,5
79,AZ,Maricopa,13,4
80,AZ,Mohave,3,5
81,AZ,Navajo,2,5
82,AZ,Pima,5,5
