ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,RPL_THEME1_socieconomic,RPL_THEME2_household_composition_and_disability,RPL_THEME3_minority_status_and_language,RPL_THEME4_Housing_type_and_transportation,RPL_THEMES_Social_Vulnerability_Index
35,NEW MEXICO,NM,Rio Arriba,35039,"Rio Arriba County, New Mexico",-999.0,0.8758,0.9268,0.5409,-999.0
1,ALABAMA,AL,Autauga,1001,"Autauga County, Alabama",0.3631,0.581,0.5947,0.3741,0.4354
1,ALABAMA,AL,Blount,1009,"Blount County, Alabama",0.6143,0.3187,0.5915,0.1741,0.4242
1,ALABAMA,AL,Butler,1013,"Butler County, Alabama",0.8455,0.9077,0.6447,0.6259,0.8653
1,ALABAMA,AL,Calhoun,1015,"Calhoun County, Alabama",0.7866,0.8303,0.6507,0.6492,0.8252
1,ALABAMA,AL,Chambers,1017,"Chambers County, Alabama",0.6901,0.6609,0.4597,0.7943,0.7382
1,ALABAMA,AL,Coffee,1031,"Coffee County, Alabama",0.5373,0.8067,0.7256,0.1923,0.5408
1,ALABAMA,AL,Colbert,1033,"Colbert County, Alabama",0.6519,0.6858,0.397,0.1025,0.4274
1,ALABAMA,AL,Covington,1039,"Covington County, Alabama",0.8232,0.908,0.3941,0.4702,0.7723
1,ALABAMA,AL,Cullman,1043,"Cullman County, Alabama",0.6895,0.4444,0.3305,0.3945,0.5182
1,ALABAMA,AL,Dale,1045,"Dale County, Alabama",0.779,0.7463,0.6772,0.455,0.7599
1,ALABAMA,AL,Elmore,1051,"Elmore County, Alabama",0.4911,0.5422,0.581,0.5177,0.5401
1,ALABAMA,AL,Etowah,1055,"Etowah County, Alabama",0.7169,0.7587,0.6396,0.2904,0.6564
1,ALABAMA,AL,Henry,1067,"Henry County, Alabama",0.6971,0.6374,0.4725,0.2713,0.5519
1,ALABAMA,AL,Houston,1069,"Houston County, Alabama",0.6943,0.8542,0.5938,0.3502,0.6838
1,ALABAMA,AL,Jackson,1071,"Jackson County, Alabama",0.7927,0.5635,0.3126,0.3231,0.5726
1,ALABAMA,AL,Lauderdale,1077,"Lauderdale County, Alabama",0.4946,0.2451,0.4464,0.5622,0.4468
1,ALABAMA,AL,Lawrence,1079,"Lawrence County, Alabama",0.7373,0.5186,0.3725,0.2028,0.4952
1,ALABAMA,AL,Limestone,1083,"Limestone County, Alabama",0.5812,0.2999,0.6186,0.4521,0.5296
1,ALABAMA,AL,Madison,1089,"Madison County, Alabama",0.2863,0.1219,0.7217,0.3836,0.3076
1,ALABAMA,AL,Marshall,1095,"Marshall County, Alabama",0.7427,0.7682,0.7708,0.3149,0.7261
1,ALABAMA,AL,Mobile,1097,"Mobile County, Alabama",0.6815,0.5899,0.6845,0.723,0.7532
1,ALABAMA,AL,Morgan,1103,"Morgan County, Alabama",0.5838,0.6702,0.7504,0.5775,0.6895
1,ALABAMA,AL,Randolph,1111,"Randolph County, Alabama",0.7252,0.4814,0.4266,0.8157,0.7191
1,ALABAMA,AL,Russell,1113,"Russell County, Alabama",0.8433,0.88,0.7937,0.7768,0.9115
1,ALABAMA,AL,St. Clair,1115,"St. Clair County, Alabama",0.5475,0.3088,0.3961,0.2502,0.3656
1,ALABAMA,AL,Shelby,1117,"Shelby County, Alabama",0.0841,0.0691,0.6877,0.1764,0.1169
1,ALABAMA,AL,Talladega,1121,"Talladega County, Alabama",0.8729,0.7797,0.5883,0.7985,0.8736
2,ALASKA,AK,Valdez-Cordova,2261,"Valdez-Cordova Census Area, Alaska",0.1503,0.0557,0.4693,0.8513,0.2704
4,ARIZONA,AZ,Pinal,4021,"Pinal County, Arizona",0.6962,0.7014,0.8962,0.8271,0.8592
5,ARKANSAS,AR,Boone,5009,"Boone County, Arkansas",0.5207,0.8125,0.0637,0.46,0.4379
5,ARKANSAS,AR,Bradley,5011,"Bradley County, Arkansas",0.8761,0.9748,0.8943,0.8924,0.9803
5,ARKANSAS,AR,Crawford,5033,"Crawford County, Arkansas",0.6121,0.8691,0.5785,0.2951,0.6105
5,ARKANSAS,AR,Cross,5037,"Cross County, Arkansas",0.6809,0.9675,0.3512,0.4432,0.7013
5,ARKANSAS,AR,Faulkner,5045,"Faulkner County, Arkansas",0.4334,0.1872,0.5244,0.7568,0.4774
5,ARKANSAS,AR,Franklin,5047,"Franklin County, Arkansas",0.7041,0.6613,0.2677,0.5495,0.5943
5,ARKANSAS,AR,Garland,5051,"Garland County, Arkansas",0.6376,0.9239,0.6049,0.8313,0.828
5,ARKANSAS,AR,Grant,5053,"Grant County, Arkansas",0.5051,0.7418,0.1277,0.2566,0.3541
5,ARKANSAS,AR,Independence,5063,"Independence County, Arkansas",0.6344,0.9115,0.5552,0.6326,0.7525
5,ARKANSAS,AR,Logan,5083,"Logan County, Arkansas",0.8475,0.944,0.4132,0.4763,0.8045
5,ARKANSAS,AR,Lonoke,5085,"Lonoke County, Arkansas",0.3634,0.5619,0.4556,0.2334,0.3309
5,ARKANSAS,AR,Madison,5087,"Madison County, Arkansas",0.7564,0.6383,0.5256,0.3792,0.6535
5,ARKANSAS,AR,Pope,5115,"Pope County, Arkansas",0.7522,0.5928,0.6711,0.7437,0.7936
5,ARKANSAS,AR,Prairie,5117,"Prairie County, Arkansas",0.708,0.7622,0.2174,0.695,0.6548
5,ARKANSAS,AR,Randolph,5121,"Randolph County, Arkansas",0.6898,0.9828,0.2706,0.4858,0.7166
5,ARKANSAS,AR,Saline,5125,"Saline County, Arkansas",0.1844,0.737,0.5524,0.3257,0.3325
5,ARKANSAS,AR,Sebastian,5131,"Sebastian County, Arkansas",0.672,0.852,0.8351,0.6998,0.8328
5,ARKANSAS,AR,White,5145,"White County, Arkansas",0.6717,0.5871,0.4973,0.8523,0.7446
6,CALIFORNIA,CA,Butte,6007,"Butte County, California",0.6583,0.3133,0.7953,0.9484,0.8064
6,CALIFORNIA,CA,El Dorado,6017,"El Dorado County, California",0.171,0.1016,0.6937,0.2209,0.1838
6,CALIFORNIA,CA,Humboldt,6023,"Humboldt County, California",0.643,0.3225,0.7459,0.9042,0.7605
6,CALIFORNIA,CA,Inyo,6027,"Inyo County, California",0.2844,0.2563,0.8535,0.8902,0.5701
6,CALIFORNIA,CA,Placer,6061,"Placer County, California",0.072,0.1213,0.7437,0.1974,0.1519
6,CALIFORNIA,CA,San Luis Obispo,6079,"San Luis Obispo County, California",0.2331,0.0465,0.8405,0.7832,0.3739
6,CALIFORNIA,CA,Shasta,6089,"Shasta County, California",0.4895,0.7533,0.6202,0.815,0.7022
6,CALIFORNIA,CA,Siskiyou,6093,"Siskiyou County, California",0.6019,0.7205,0.6928,0.6676,0.7223
8,COLORADO,CO,Clear Creek,8019,"Clear Creek County, Colorado",0.001,0.0296,0.4833,0.1404,0.0197
8,COLORADO,CO,Elbert,8039,"Elbert County, Colorado",0.0019,0.0197,0.2025,0.0035,0.0
8,COLORADO,CO,Gilpin,8047,"Gilpin County, Colorado",0.0006,0.0016,0.2763,0.15,0.0022
8,COLORADO,CO,Gunnison,8051,"Gunnison County, Colorado",0.2631,0.0127,0.3426,0.5326,0.1392
8,COLORADO,CO,Jackson,8057,"Jackson County, Colorado",0.4134,0.0423,0.6772,0.0102,0.1137
8,COLORADO,CO,Lake,8065,"Lake County, Colorado",0.5455,0.0143,0.8682,0.6351,0.4452
8,COLORADO,CO,La Plata,8067,"La Plata County, Colorado",0.0503,0.0102,0.4801,0.6829,0.1086
8,COLORADO,CO,Las Animas,8071,"Las Animas County, Colorado",0.6975,0.6218,0.8481,0.8351,0.8373
8,COLORADO,CO,Logan,8075,"Logan County, Colorado",0.4159,0.1283,0.7752,0.9634,0.628
8,COLORADO,CO,Mesa,8077,"Mesa County, Colorado",0.5287,0.4833,0.5982,0.5969,0.5755
8,COLORADO,CO,Montezuma,8083,"Montezuma County, Colorado",0.5041,0.702,0.5536,0.2846,0.4946
8,COLORADO,CO,Montrose,8085,"Montrose County, Colorado",0.6166,0.5333,0.8048,0.6437,0.7153
8,COLORADO,CO,Park,8093,"Park County, Colorado",0.0809,0.0264,0.1964,0.0016,0.0006
8,COLORADO,CO,Prowers,8099,"Prowers County, Colorado",0.8446,0.9436,0.9032,0.7367,0.9392
8,COLORADO,CO,Pueblo,8101,"Pueblo County, Colorado",0.7092,0.9048,0.7606,0.7937,0.8669
8,COLORADO,CO,Rio Blanco,8103,"Rio Blanco County, Colorado",0.2943,0.0939,0.5963,0.6549,0.3401
8,COLORADO,CO,Teller,8119,"Teller County, Colorado",0.1541,0.1299,0.3528,0.0751,0.0729
8,COLORADO,CO,Washington,8121,"Washington County, Colorado",0.1936,0.425,0.5084,0.3719,0.2822
9,CONNECTICUT,CT,Litchfield,9005,"Litchfield County, Connecticut",0.1054,0.0541,0.5374,0.1573,0.0818
9,CONNECTICUT,CT,Middlesex,9007,"Middlesex County, Connecticut",0.0529,0.0481,0.5842,0.3483,0.1182
9,CONNECTICUT,CT,New London,9011,"New London County, Connecticut",0.2283,0.1996,0.7558,0.5396,0.3561
9,CONNECTICUT,CT,Windham,9015,"Windham County, Connecticut",0.3535,0.2095,0.7007,0.5428,0.4232
10,DELAWARE,DE,Kent,10001,"Kent County, Delaware",0.4764,0.6558,0.7819,0.8373,0.7268
12,FLORIDA,FL,Clay,12019,"Clay County, Florida",0.3739,0.4285,0.7424,0.2206,0.3803
12,FLORIDA,FL,Escambia,12033,"Escambia County, Florida",0.4653,0.0891,0.7256,0.6896,0.4863
12,FLORIDA,FL,Nassau,12089,"Nassau County, Florida",0.164,0.5368,0.411,0.3031,0.2459
12,FLORIDA,FL,Pasco,12101,"Pasco County, Florida",0.4774,0.6043,0.7361,0.66,0.6344
12,FLORIDA,FL,St. Johns,12109,"St. Johns County, Florida",0.0777,0.1149,0.4747,0.1124,0.0761
12,FLORIDA,FL,Santa Rosa,12113,"Santa Rosa County, Florida",0.2436,0.3642,0.5059,0.4225,0.3096
13,GEORGIA,GA,Bartow,13015,"Bartow County, Georgia",0.5717,0.5511,0.7151,0.4238,0.5914
13,GEORGIA,GA,Camden,13039,"Camden County, Georgia",0.415,0.4422,0.5425,0.6823,0.5159
13,GEORGIA,GA,Carroll,13045,"Carroll County, Georgia",0.7869,0.5301,0.7256,0.6272,0.7825
13,GEORGIA,GA,Catoosa,13047,"Catoosa County, Georgia",0.3194,0.2098,0.3136,0.0678,0.1318
13,GEORGIA,GA,Cherokee,13057,"Cherokee County, Georgia",0.1102,0.0904,0.7494,0.0955,0.1185
13,GEORGIA,GA,Columbia,13073,"Columbia County, Georgia",0.1608,0.2171,0.7475,0.0357,0.1334
13,GEORGIA,GA,Coweta,13077,"Coweta County, Georgia",0.2656,0.2502,0.758,0.1219,0.2427
13,GEORGIA,GA,Dawson,13085,"Dawson County, Georgia",0.2382,0.1465,0.3419,0.0907,0.1038
13,GEORGIA,GA,Fayette,13113,"Fayette County, Georgia",0.0602,0.1032,0.765,0.0181,0.0608
13,GEORGIA,GA,Floyd,13115,"Floyd County, Georgia",0.7484,0.6361,0.8064,0.9389,0.8854
13,GEORGIA,GA,Gilmer,13123,"Gilmer County, Georgia",0.6427,0.4963,0.7049,0.2728,0.5599
13,GEORGIA,GA,Glynn,13127,"Glynn County, Georgia",0.4777,0.8112,0.7908,0.694,0.7159
13,GEORGIA,GA,Haralson,13143,"Haralson County, Georgia",0.6325,0.8962,0.2856,0.2859,0.5427
13,GEORGIA,GA,Harris,13145,"Harris County, Georgia",0.2573,0.3948,0.3225,0.0519,0.1341
13,GEORGIA,GA,Hart,13147,"Hart County, Georgia",0.7194,0.8434,0.6164,0.3897,0.7194
13,GEORGIA,GA,Houston,13153,"Houston County, Georgia",0.4869,0.5852,0.788,0.4031,0.5669
13,GEORGIA,GA,Jackson,13157,"Jackson County, Georgia",0.4436,0.327,0.6784,0.1735,0.3516
13,GEORGIA,GA,Jones,13169,"Jones County, Georgia",0.6248,0.5887,0.3206,0.134,0.3793
13,GEORGIA,GA,Lumpkin,13187,"Lumpkin County, Georgia",0.6067,0.1232,0.489,0.4358,0.4338
13,GEORGIA,GA,Monroe,13207,"Monroe County, Georgia",0.5162,0.0831,0.5632,0.6762,0.4596
13,GEORGIA,GA,Morgan,13211,"Morgan County, Georgia",0.3688,0.3063,0.6797,0.0538,0.2446
13,GEORGIA,GA,Pickens,13227,"Pickens County, Georgia",0.4038,0.2493,0.304,0.319,0.2796
13,GEORGIA,GA,Pike,13231,"Pike County, Georgia",0.5283,0.0729,0.2324,0.0726,0.151
13,GEORGIA,GA,Polk,13233,"Polk County, Georgia",0.7682,0.809,0.8249,0.4511,0.8048
13,GEORGIA,GA,Walker,13295,"Walker County, Georgia",0.7608,0.7233,0.2856,0.4989,0.6408
13,GEORGIA,GA,Walton,13297,"Walton County, Georgia",0.5003,0.5304,0.5651,0.0328,0.293
13,GEORGIA,GA,Ware,13299,"Ware County, Georgia",0.7242,0.894,0.4565,0.9029,0.8449
13,GEORGIA,GA,White,13311,"White County, Georgia",0.4793,0.2735,0.3782,0.0876,0.2357
16,IDAHO,ID,Ada,16001,"Ada County, Idaho",0.0939,0.0981,0.5874,0.2429,0.1373
16,IDAHO,ID,Bonner,16017,"Bonner County, Idaho",0.3188,0.3843,0.1576,0.3512,0.2401
16,IDAHO,ID,Boundary,16021,"Boundary County, Idaho",0.3978,0.397,0.3903,0.2604,0.3083
16,IDAHO,ID,Butte,16023,"Butte County, Idaho",0.4178,0.4639,0.0092,0.3365,0.2462
