StateFIPS,State,CountyFIPS,County,Year,Value,Maximum Contaminant Level,Maximum Contaminant Level
4,Arizona,4001,Apache,2018,3.6,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4001,Apache,2018,6,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4001,Apache,2018,1,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4001,Apache,2019,8,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4001,Apache,2019,0.5,Not Detected (3),Maximum Contaminant Level: Not Detected
4,Arizona,4001,Apache,2019,0.5,Not Detected (3),Maximum Contaminant Level: Not Detected
4,Arizona,4001,Apache,2019,2.9,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,5.25,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,1.7,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,1.7,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,0.5,Not Detected (3),Maximum Contaminant Level: Not Detected
4,Arizona,4003,Cochise,2018,4.4,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,10.59,Greater than MCL (1),Maximum Contaminant Level: Greater than MCL
4,Arizona,4003,Cochise,2018,7.73,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,8.8,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2018,10.29,Greater than MCL (1),Maximum Contaminant Level: Greater than MCL
4,Arizona,4003,Cochise,2018,1.9,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2019,2.7,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2019,0.75,Less than or Equal to MCL (2),Maximum Contaminant Level: Less than or Equal to MCL
4,Arizona,4003,Cochise,2019,0.5,Not Detected (3),Maximum Contaminant Level: Not Detected
