,Plant sequence number,Data Year,Plant state abbreviation,Plant name,Plant transmission or distribution system owner name,Utility ID,Plant FIPS state code,Plant FIPS county code,Plant county name,Latitude,Longitude,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category
0,1,2019,AK,Sand Point,"TDX Sand Point Generating, LLC",63560,2,13.0,Aleutians East,55.339722,-160.497222,DFO,OIL
1,2,2019,AL,Barry,Alabama Power Co,195,1,97.0,Mobile,31.0069,-88.0103,BIT,COAL
2,3,2019,AL,Gadsden,Alabama Power Co,195,1,55.0,Etowah,34.0128,-85.9708,NG,GAS
3,4,2019,AL,Gorgas,Alabama Power Co,195,1,127.0,Walker,33.644344,-87.196486,BIT,COAL
4,5,2019,TX,Copper Station,El Paso Electric Co,5701,48,141.0,El Paso,31.7569,-106.375,NG,GAS
5,6,2019,AL,Greene County,Alabama Power Co,195,1,63.0,Greene,32.6017,-87.7811,NG,GAS
6,7,2019,AL,E C Gaston,Alabama Power Co,195,1,117.0,Shelby,33.244211,-86.458056,BIT,COAL
7,8,2019,MN,Madelia,City of Madelia - (MN),29305,27,165.0,Watonwan,44.0501,-94.4178,NG,GAS
8,9,2019,AL,Colbert,Tennessee Valley Authority,18642,1,33.0,Colbert,34.7439,-87.8486,NG,GAS
9,10,2019,LA,Dolet Hills Power Station,Cleco Power LLC,3265,22,31.0,DeSoto,32.030556,-93.569167,LIG,COAL
10,11,2019,KY,Smith Generating Facility,"East Kentucky Power Coop, Inc",5580,21,49.0,Clark,37.8833,-84.1017,NG,GAS
11,12,2019,AL,Charles R Lowman,PowerSouth Energy Cooperative,189,1,129.0,Washington,31.488019,-87.910747,BIT,COAL
12,13,2019,NE,Platte,City of Grand Island - (NE),40606,31,79.0,Hall,40.854765,-98.348222,SUB,COAL
13,14,2019,NE,Gerald Whelan Energy Center,Nebraska Public Power District,8245,31,1.0,Adams,40.580872,-98.312437,SUB,COAL
14,15,2019,AK,Gold Creek,Alaska Electric Light&Power Co,213,2,110.0,Juneau,58.3107,-134.4174,WAT,HYDRO
15,16,2019,AK,Lemon Creek,Alaska Electric Light&Power Co,213,2,110.0,Juneau,58.3536,-134.4953,DFO,OIL
16,17,2019,AK,Skagway,Alaska Power and Telephone Co,219,2,230.0,Skagway,59.4545,-135.3131,WAT,HYDRO
17,18,2019,AK,Haines,Alaska Power and Telephone Co,219,2,100.0,Haines,59.235931,-135.446228,DFO,OIL
18,19,2019,AK,Anchorage 1,Anchorage Municipal Light and Power,599,2,20.0,Anchorage,61.2221,-149.8661,NG,GAS
19,20,2019,AK,Aurora Energy LLC Chena,Golden Valley Elec Assn Inc,986,2,90.0,Fairbanks North Star,64.847743,-147.735063,SUB,COAL
20,21,2019,AK,S W Bailey,Ketchikan Public Utilities,10210,2,130.0,Ketchikan Gateway,55.357397,-131.69696,DFO,OIL
21,22,2019,NM,Escalante,"Tri-State G & T Assn, Inc",30151,35,31.0,McKinley,35.4159,-108.082,SUB,COAL
22,23,2019,AK,Snake River,Nome Joint Utility Systems,13642,2,180.0,Nome,64.505331,-165.429814,DFO,OIL
23,24,2019,AK,Petersburg,Petersburg Borough - (AK),14856,2,195.0,Petersburg,56.81104,-132.957091,WAT,HYDRO
24,25,2019,AK,Seward (AK),City of Seward - (AK),16955,2,122.0,Kenai Peninsula,60.130922,-149.43501,DFO,OIL
25,26,2019,AK,Wrangell,City of Wrangell - (AK),21015,2,275.0,Wrangell,56.460976,-132.379439,DFO,OIL
26,27,2019,AK,Beluga,Chugach Electric Assn Inc,3522,2,122.0,Kenai Peninsula,61.1861,-151.0356,NG,GAS
27,28,2019,WA,Frederickson,Puget Sound Energy Inc,15500,53,53.0,Pierce,47.079722,-122.365,NG,GAS
28,29,2019,KS,Holcomb,Sunflower Electric Power Corp,18315,20,55.0,Finney,37.9308,-100.9725,SUB,COAL
29,30,2019,AK,Dillingham,"Nushagak Electric Coop, Inc",13870,2,70.0,Dillingham,59.042914,-158.468597,DFO,OIL
30,31,2019,AZ,Cholla,Arizona Public Service Co,803,4,17.0,Navajo,34.9394,-110.3033,SUB,COAL
31,32,2019,AZ,Douglas,Arizona Public Service Co,803,4,3.0,Cochise,31.364122,-109.5538,DFO,OIL
32,33,2019,AZ,Ocotillo Power Plant,Arizona Public Service Co,803,4,13.0,Maricopa,33.4225,-111.9122,NG,GAS
33,34,2019,AZ,APS West Phoenix Power Plant,Arizona Public Service Co,803,4,13.0,Maricopa,33.4417,-112.1583,NG,GAS
34,35,2019,AZ,APS Saguaro Power Plant,Arizona Public Service Co,803,4,21.0,Pinal,32.5517,-111.3,NG,GAS
35,36,2019,AZ,Yucca Power Plant,Arizona Public Service Co,803,4,27.0,Yuma,32.7214,-114.7106,NG,GAS
36,37,2019,AZ,De Moss Petrie Generating Station,Tucson Electric Power Co,24211,4,19.0,Pima,32.252273,-110.992148,NG,GAS
37,38,2019,AZ,Irvington Generating Station,Tucson Electric Power Co,24211,4,19.0,Pima,32.16,-110.9047,NG,GAS
38,39,2019,TX,Oklaunion Power Station,Public Service Co of Oklahoma,15474,48,487.0,Wilbarger,34.0825,-99.1753,SUB,COAL
39,40,2019,SC,Cross,South Carolina Public Service Authority,17543,45,15.0,Berkeley,33.371506,-80.113235,RC,COAL
40,41,2019,FL,Seminole (136),Seminole Electric Cooperative Inc,21554,12,107.0,Putnam,29.733056,-81.632778,BIT,COAL
41,42,2019,AZ,Agua Fria Generating Station,Salt River Project,16572,4,13.0,Maricopa,33.5561,-112.2153,NG,GAS
42,43,2019,AZ,Kyrene Generating Station,Salt River Project,16572,4,13.0,Maricopa,33.3556,-111.9353,NG,GAS
43,44,2019,CA,McClure,Modesto Irrigation District,12745,6,99.0,Stanislaus,37.62936,-120.93139,DFO,OIL
44,45,2019,AZ,Apache Station,Arizona Electric Pwr Coop Inc,796,4,3.0,Cochise,32.0603,-109.8931,NG,GAS
45,46,2019,OK,Grand River Dam Authority,Grand River Dam Authority,7490,40,97.0,Mayes,36.190278,-95.2894,NG,GAS
46,47,2019,AR,Lake Catherine,Entergy Arkansas Inc,814,5,59.0,Hot Spring,34.4341,-92.9049,NG,GAS
47,48,2019,AR,Municipal Light,Southwestern Power Administration,15043,5,21.0,Clay,36.3858,-90.1867,DFO,OIL
48,49,2019,AR,Thomas Fitzhugh,Southwestern Electric Power Co,807,5,47.0,Franklin,35.462382,-93.804926,NG,GAS
49,50,2019,AR,Carl Bailey,Entergy Arkansas Inc,807,5,147.0,Woodruff,35.260102,-91.363426,NG,GAS
50,51,2019,AR,McClellan,Entergy Arkansas Inc,807,5,103.0,Ouachita,33.5648,-92.7917,NG,GAS
51,52,2019,CA,Humboldt Bay,Pacific Gas & Electric Co,14328,6,23.0,Humboldt,40.7415,-124.2103,NG,GAS
52,53,2019,CA,Moss Landing,Pacific Gas & Electric Co,54802,6,53.0,Monterey,36.804837,-121.782241,NG,GAS
53,54,2019,TX,Limestone,CenterPoint Energy,54888,48,293.0,Limestone,31.4219,-96.2525,SUB,COAL
54,55,2019,CA,Cabrillo Power I Encina Power Station,San Diego Gas & Electric Co,58847,6,73.0,San Diego,33.140507,-117.333916,NG,GAS
55,56,2019,CA,AES Alamitos,Southern California Edison Co,22148,6,37.0,Los Angeles,33.7688,-118.1009,NG,GAS
56,57,2019,CA,El Segundo,Southern California Edison Co,13584,6,37.0,Los Angeles,33.910556,-118.425,NG,GAS
57,58,2019,CA,AES Huntington Beach,Southern California Edison Co,23693,6,59.0,Orange,33.6439,-117.9792,NG,GAS
58,59,2019,CA,Long Beach Generating Station,Southern California Edison Co,13584,6,37.0,Los Angeles,33.7641,-118.2248,NG,GAS
59,60,2019,CA,"Ormond Beach Power, LLC.",Southern California Edison Co,15908,6,111.0,Ventura,34.1292,-119.1689,NG,GAS
60,61,2019,CA,AES Redondo Beach,Southern California Edison Co,22484,6,37.0,Los Angeles,33.8504,-118.395,NG,GAS
61,62,2019,CA,Mountainview Generating Station,Southern California Edison Co,17609,6,71.0,San Bernardino,34.0818,-117.2418,NG,GAS
62,63,2019,CA,Grayson Power Plant,Los Angeles Department of Water & Power,7294,6,37.0,Los Angeles,34.1556,-118.2782,NG,GAS
63,64,2019,IL,Joliet 29,Commonwealth Edison Co,12384,17,197.0,Will,41.494636,-88.123827,NG,GAS
64,65,2019,CA,El Centro,Imperial Irrigation District,9216,6,25.0,Imperial,32.802222,-115.54,NG,GAS
65,66,2019,CA,Harbor Generating Station,Los Angeles Department of Water & Power,11208,6,37.0,Los Angeles,33.7706,-118.2656,NG,GAS
66,67,2019,CA,Haynes Generating Station,Los Angeles Department of Water & Power,11208,6,37.0,Los Angeles,33.764741,-118.09913,NG,GAS
67,68,2019,CA,Scattergood Generating Station,Los Angeles Department of Water & Power,11208,6,37.0,Los Angeles,33.918151,-118.427648,NG,GAS
68,69,2019,AK,Tok,Alaska Power and Telephone Co,219,2,240.0,Southeast Fairbanks,63.33552,-142.99997,DFO,OIL
69,70,2019,CA,Valley Generating Station,Los Angeles Department of Water & Power,11208,6,37.0,Los Angeles,34.244991,-118.391327,NG,GAS
70,71,2019,AK,Craig (AK),Alaska Power and Telephone Co,219,2,198.0,Prince of Wales-Hyder,55.47691,-133.14869,DFO,OIL
71,72,2019,CA,Glenarm,City of Pasadena - (CA),14534,6,37.0,Los Angeles,34.126,-118.1494,NG,GAS
72,73,2019,AK,Hydaburg,Alaska Power and Telephone Co,219,2,198.0,Prince of Wales-Hyder,55.204937,-132.821435,DFO,OIL
